종목명,현재가,등락률,수익률,거래량,종목코드
BLANK|260515
한성크린텍,"2,270","2.02","","3,875,923",'066980
아가방컴퍼니,"3,415","","","40,200",'013990
쇼박스,"2,030","-0.49","","138,403",'086980
BLANK|260519
제일파마홀딩스,"6,710","1.67","","8,152",'002620
이연제약,"10,170","2.42","","40,541",'102460
영림원소프트랩,"5,200","1.76","","6,859",'060850
메쎄이상,"2,925","","","15,123",'408920
디지아이,"2,165","2.12","","5,887",'043360
브이원텍,"3,650","-1.48","","57,312",'251630
제이앤티씨,"16,590","5.07","","421,799",'204270
성우,"8,560","-0.23","","17,919",'458650
토박스코리아,"1,749","11.90","","103,973",'215480
BLANK|260520
아이스크림미디어,"16,470","1.23","","37,889",'461300
노바렉스,"13,170","-2.15","","129,268",'194700
아나패스,"15,250","0.93","","42,333",'123860
다이나믹솔루션,"1,689","2.55","","383,226",'290660
SKAI,"2,605","-3.52","","600,680",'357880
코나아이,"47,250","1.83","","75,567",'052400
BLANK|260526
대원강업,"4,110","4.31","","304,573",'000430
그린생명과학,"1,898","3.15","","89,444",'114450
삼현철강,"4,795","-0.31","","56,401",'017480
어보브반도체,"8,030","3.21","","146,738",'102120
LB세미콘,"4,330","-0.57","","340,962",'061970
파인엠텍,"7,280","13.57","","4,145,591",'441270
제이티,"4,510","4.52","","104,801",'089790
HL만도,"50,400","4.13","","909,289",'204320
BLANK|
DYP,"3,585","3.46","","45,623",'092780
아이텍,"5,660","3.47","","595,807",'119830
에스엠벡셀,"1,631","1.81","","49,857",'010580
제이앤티씨,"16,590","5.07","","421,799",'204270
아이컴포넌트,"4,665","2.30","","7,263",'059100
DH오토리드,"2,470","2.92","","20,673",'290120
조선내화,"15,960","2.57","","29,170",'462520
BLANK|260529
레인보우로보틱스,"496,000","2.27","","138,685",'277810
한일철강,"4,260","0.95","","109,363",'002220
BLANK|260605
오리온홀딩스,"25,450","-0.78","","108,225",'001800
한국타이어앤테크놀로지,"67,100","-0.30","","257,532",'161390
국보디자인,"23,850","","","3,031",'066620
한빛소프트,"1,072","1.80","","157,455",'047080
아이컴포넌트,"4,665","2.30","","7,263",'059100
BLANK|260612
삼현철강,"4,795","-0.31","","56,401",'017480
넥스턴앤롤코리아,"2,375","-0.21","","80,960",'089140
블루콤,"3,650","-0.27","","53,185",'033560
